Round,Day,Venue,Result,Home_Goals,Away_Goals,Away_Team,Home_xG,Away_xG,Home_Poss,Home_Shots,Home_SoT,Dist,FK,PK,PKatt,Home_Team,GD,xGD,Home,GF_scaled,GA_scaled,xG_scaled,xGA_scaled,Poss_scaled,Sh_scaled,SoT_scaled,Dist_scaled,FK_scaled,PK_scaled,PKatt_scaled,GD_scaled,xGD_scaled,Round_scaled,Away_Poss,Away_Shots,Away_SoT,Away_xG,Away_xGA
2,Sat,Home,H,1,0,Newcastle United,1.0,0.3,59.0,14.0,4.0,17.9,0.0,0,0,Manchester City,1,0.7,1,-0.4806550338795155,-1.232296650645836,-0.6177685536400428,-1.4036434234069084,0.6550003234570297,0.05607053524124161,-0.25281905930474097,0.4162717448702141,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.4798989792685855,0.48683699470453934,-1.5958626340564361,41.0,11.200000000000001,3.2,0.3,1.0
4,Sat,Home,H,5,1,Fulham,2.2,1.4,68.0,6.0,4.0,14.8,0.0,1,1,Manchester City,4,0.8000000000000003,1,2.5259114331857666,-0.4806550338795155,0.7294455088174403,-0.16869719948754913,1.3100006469140595,-1.2652816130794906,-0.25281905930474097,-0.6698148895862929,-0.6228722422076017,2.434603908796998,2.279943991388663,1.919595917074342,0.5563851368051881,-1.413478333021415,32.0,6.0,4.0,1.4,2.2
6,Sat,Home,H,2,0,Nott'ham Forest,1.3,1.0,57.0,7.0,4.0,17.2,2.0,0,0,Manchester City,2,0.30000000000000004,1,0.27098658288680494,-1.232296650645836,-0.2809650380256721,-0.6177685536400433,0.5094446960221343,-1.100112594539399,-0.25281905930474097,0.17102637579939003,2.7225899774233335,-0.3519909265730599,-0.3735895973638391,0.959797958537171,0.2086444263019455,-1.2310940319863937,43.0,5.6000000000000005,3.2,1.0,1.3
9,Sat,Home,H,2,1,Brighton and Hove Albion,0.8,0.8,55.0,10.0,5.0,18.8,1.0,0,0,Manchester City,1,0.0,1,0.27098658288680494,-0.4806550338795155,-0.8423042307162899,-0.8423042307162905,0.36388906858723874,-0.6046055389191245,0.12541417902518667,0.7315872193898462,1.049858867607866,-0.3519909265730599,-0.3735895973638391,0.4798989792685855,0.0,-0.9575175804338617,45.0,8.0,4.0,0.8,0.8
11,Sat,Home,H,6,1,AFC Bournemouth,1.9,0.9,65.0,21.0,8.0,16.4,0.0,0,0,Manchester City,5,0.9999999999999999,1,3.2775530499520866,-0.4806550338795155,0.39264199320306925,-0.7300363921781668,1.0916672057617163,1.2122536650218823,1.2601138940149696,-0.10925404599583802,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,2.3994948963429277,0.6954814210064848,-0.7751332793988405,35.0,5.0,1.0,0.9,1.9
13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59.0,16.0,5.0,16.3,1.0,0,0,Manchester City,0,0.7000000000000001,1,-0.4806550338795155,-0.4806550338795155,-0.2809650380256721,-1.0668399077925377,0.6550003234570297,0.38640857232142467,0.12541417902518667,-0.14428909872024073,1.049858867607866,-0.3519909265730599,-0.3735895973638391,0.0,0.48683699470453945,-0.5927489783638191,41.0,8.0,3.0,0.6,1.3
14,Sun,Home,D,3,3,Tottenham Hotspur,2.6,0.5,55.0,17.0,4.0,13.4,0.0,0,0,Manchester City,0,2.1,1,1.0226281996531255,1.0226281996531255,1.1785168629699345,-1.1791077463306612,0.36388906858723874,0.5515775908615161,-0.25281905930474097,-1.1603056277279415,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.0,1.4605109841136181,-0.5015568278463085,45.0,13.600000000000001,3.2,0.5,2.6
17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74.0,19.0,9.0,18.2,0.0,0,0,Manchester City,0,-0.19999999999999996,1,0.27098658288680494,0.27098658288680494,0.05583847758869872,0.2803741546649453,1.746667529218746,0.8819156279416992,1.6383471323448973,0.5213769030434248,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.0,-0.13909628420129694,-0.2279803762937766,26.0,15.200000000000001,7.2,1.8,1.6
20,Sat,Home,H,2,0,Sheffield United,2.2,0.3,80.0,18.0,4.0,17.4,0.0,0,0,Manchester City,2,1.9000000000000001,1,0.27098658288680494,-1.232296650645836,0.7294455088174403,-1.4036434234069084,2.1833344115234325,0.7167466094016077,-0.25281905930474097,0.24109648124819671,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.959797958537171,1.3214146999123213,0.04559607525875532,20.0,14.4,3.2,0.3,2.2
22,Wed,Home,H,3,1,Burnley,1.7,1.4,74.0,14.0,4.0,15.8,1.0,0,0,Manchester City,2,0.30000000000000004,1,1.0226281996531255,-0.4806550338795155,0.16810631612682214,-0.16869719948754913,1.746667529218746,0.05607053524124161,-0.25281905930474097,-0.3194643623422581,1.049858867607866,-0.3519909265730599,-0.3735895973638391,0.959797958537171,0.2086444263019455,0.2279803762937766,26.0,8.0,3.0,1.4,1.7
